time_s,q_sun_W_per_m2
0,340.25
3602.3,0
5738.99,0
5738.99,340.25
5738.99,340.25
9341.29,0
11477.98,0
11477.98,340.25
11477.98,340.25
15080.28,0
17216.97,0
17216.97,340.25
17216.97,340.25
20819.27,0
22955.96,0
22955.96,340.25
22955.96,340.25
26558.26,0
28694.95,0
28694.95,340.25
28694.95,340.25
32297.25,0
34433.94,0
34433.94,340.25
34433.94,340.25
38036.24,0
40172.93,0
40172.93,340.25
40172.93,340.25
43775.23,0
45911.92,0
45911.92,340.25
45911.92,340.25
49514.22,0
51650.91,0
51650.91,340.25
51650.91,340.25
55253.21,0
57389.9,0
57389.9,340.25
57389.9,340.25
60992.2,0
63128.89,0
63128.89,340.25
63128.89,340.25
66731.19,0
68867.88,0
